timestamp,MQ-135,MQ-7
0,347,347
10,351,354
20,351,356
30,350,357
40,354,357
50,350,360
60,350,359
70,347,360
80,349,360
90,352,359
100,349,360
110,349,361
120,351,361
130,349,360
140,351,358
150,351,362
160,351,360
170,350,360
180,350,362
190,350,361
200,345,359
210,345,359
220,347,359
230,348,360
240,350,359
250,349,361
260,350,360
270,347,360
280,349,360
290,348,360
300,348,362
310,349,359
320,349,361
330,349,359
340,352,360
350,348,361
360,351,361
370,350,362
380,351,360
390,349,360
400,350,361
410,350,361
420,351,361
430,355,361
440,352,360
450,351,361
460,353,360
470,352,361
480,352,359
490,351,361
500,353,361
510,352,361
520,353,361
530,352,361
540,356,361
550,352,361
560,353,361
570,353,361
580,353,360
590,353,361
600,355,360
610,353,360
620,354,361
630,353,361
640,354,362
650,353,363
660,353,360
670,353,363
680,353,360
690,352,359
700,353,362
710,352,360
720,354,359
730,353,361
740,353,360
750,355,361
760,351,362
770,353,362
780,354,362
790,355,360
800,353,361
810,352,360
820,353,361
830,354,361
840,355,361
850,354,361
860,354,360
870,353,362
880,354,362
890,354,361
900,352,361
910,355,361
920,352,361
930,356,359
940,355,362
950,355,361
960,355,360
970,355,361
980,356,360
990,357,360
