timestamp,MQ-135,MQ-7
0,465,351
10,463,358
20,463,360
30,464,357
40,463,360
50,464,358
60,460,360
70,463,360
80,463,358
90,462,362
100,461,360
110,463,360
120,464,359
130,463,359
140,463,363
150,463,358
160,463,362
170,460,360
180,460,360
190,462,361
200,462,359
210,463,360
220,461,362
230,462,360
240,461,362
250,459,360
260,461,362
270,462,363
280,461,361
290,462,363
300,463,362
310,463,363
320,462,363
330,463,361
340,463,364
350,464,362
360,462,363
370,463,361
380,463,362
390,462,362
400,464,362
410,465,363
420,464,362
430,464,362
440,464,364
450,464,361
460,464,363
470,465,363
480,462,361
490,461,364
500,464,361
510,463,360
520,463,362
530,463,361
540,463,364
550,462,362
560,463,363
570,462,362
580,463,361
590,463,363
600,464,360
610,463,363
620,463,361
630,463,361
640,463,364
650,463,359
660,463,363
670,463,360
680,462,362
690,462,364
700,463,361
710,463,362
720,463,362
730,463,361
740,463,364
750,464,360
760,464,362
770,463,362
780,463,362
790,464,363
800,462,360
810,459,362
820,463,363
830,462,361
840,462,363
850,463,360
860,464,361
870,462,361
880,465,361
890,462,362
900,464,361
910,463,363
920,461,362
930,461,361
940,462,363
950,463,361
960,462,361
970,463,362
980,463,362
990,463,364
