timestamp,MQ-135,MQ-7
0,391,524
10,392,518
20,392,517
30,391,517
40,391,517
50,390,519
60,391,517
70,391,518
80,389,518
90,391,519
100,392,518
110,392,518
120,393,517
130,392,518
140,393,518
150,393,518
160,394,518
170,393,518
180,394,518
190,393,517
200,392,519
210,393,518
220,392,518
230,392,517
240,393,518
250,392,519
260,394,518
270,393,518
280,394,518
290,393,518
300,394,519
310,393,518
320,392,518
330,394,519
340,393,518
350,394,519
360,393,516
370,396,517
380,394,519
390,394,518
400,394,518
410,394,519
420,394,518
430,394,516
440,394,518
450,393,518
460,392,518
470,395,519
480,395,517
490,395,519
500,396,518
510,394,519
520,394,519
530,393,518
540,395,517
550,394,518
560,396,518
570,394,518
580,394,519
590,396,518
600,392,519
610,391,519
620,395,518
630,394,518
640,393,518
650,395,519
660,395,519
670,395,517
680,395,518
690,395,518
700,396,519
710,394,518
720,396,519
730,395,518
740,393,518
750,395,519
760,395,518
770,392,517
780,394,518
790,395,517
800,393,519
810,397,519
820,394,519
830,394,518
840,395,518
850,394,518
860,395,519
870,394,516
880,398,519
890,395,519
900,395,517
910,395,517
920,395,517
930,394,517
940,395,518
950,394,516
960,395,516
970,395,518
980,394,516
990,395,516
