timestamp,MQ-135,MQ-7
0,459,523
10,462,519
20,461,517
30,460,518
40,460,519
50,457,518
60,458,517
70,459,516
80,458,519
90,459,518
100,456,517
110,459,518
120,459,517
130,458,516
140,457,519
150,458,518
160,458,518
170,459,519
180,458,518
190,458,518
200,459,519
210,458,518
220,459,518
230,458,518
240,458,517
250,459,518
260,458,518
270,459,519
280,459,518
290,460,518
300,459,517
310,458,518
320,458,519
330,460,518
340,458,519
350,459,518
360,462,518
370,462,518
380,460,517
390,464,519
400,463,519
410,461,518
420,459,519
430,462,517
440,461,519
450,462,517
460,462,519
470,462,518
480,460,519
490,464,519
500,460,518
510,459,518
520,460,517
530,463,519
540,461,516
550,459,518
560,460,518
570,459,519
580,459,518
590,458,517
600,459,517
610,460,517
620,459,518
630,459,518
640,461,518
650,459,519
660,459,519
670,458,518
680,459,518
690,459,517
700,457,517
710,461,518
720,457,517
730,459,517
740,459,518
750,459,518
760,459,519
770,459,518
780,459,517
790,460,518
800,460,518
810,458,519
820,458,518
830,460,518
840,459,517
850,459,517
860,455,517
870,460,518
880,458,518
890,457,519
900,459,518
910,459,519
920,458,518
930,458,518
940,458,517
950,458,519
960,457,519
970,458,518
980,458,516
990,458,518
