timestamp,MQ-135,MQ-7
0,462,351
10,458,356
20,460,360
30,463,359
40,459,357
50,459,359
60,461,357
70,461,360
80,461,360
90,460,360
100,460,359
110,460,358
120,463,362
130,459,358
140,460,361
150,460,359
160,459,358
170,461,362
180,464,359
190,461,362
200,460,359
210,461,359
220,460,360
230,464,360
240,460,362
250,459,359
260,461,360
270,462,360
280,461,359
290,461,360
300,462,359
310,462,359
320,463,362
330,462,359
340,461,361
350,459,359
360,460,360
370,463,360
380,463,361
390,464,362
400,463,361
410,463,361
420,463,364
430,462,360
440,464,361
450,461,361
460,460,360
470,462,362
480,461,358
490,462,363
500,463,362
510,461,360
520,460,361
530,462,360
540,463,361
550,462,361
560,460,362
570,461,364
580,461,362
590,461,362
600,461,361
610,460,362
620,460,360
630,462,361
640,461,361
650,462,360
660,461,362
670,460,362
680,462,361
690,461,362
700,461,360
710,461,361
720,461,362
730,463,361
740,461,362
750,463,360
760,460,361
770,462,362
780,461,361
790,463,363
800,462,361
810,462,363
820,462,362
830,463,360
840,462,361
850,463,361
860,463,362
870,460,360
880,466,361
890,463,363
900,461,360
910,461,362
920,460,361
930,463,362
940,458,363
950,464,362
960,461,362
970,461,361
980,462,362
990,463,362
