timestamp,MQ-135,MQ-7
0,464,351
10,464,358
20,465,360
30,463,358
40,466,358
50,465,359
60,466,359
70,466,361
80,463,359
90,464,360
100,464,361
110,466,361
120,466,363
130,466,359
140,462,362
150,465,360
160,464,359
170,464,362
180,465,360
190,463,362
200,464,359
210,464,360
220,463,361
230,464,359
240,465,362
250,464,359
260,464,359
270,464,362
280,463,359
290,462,362
300,465,360
310,467,361
320,464,363
330,465,359
340,465,362
350,466,360
360,467,361
370,464,362
380,465,360
390,464,362
400,465,360
410,465,360
420,466,361
430,468,360
440,466,362
450,466,359
460,466,360
470,464,361
480,465,359
490,467,361
500,466,360
510,466,360
520,466,362
530,465,359
540,467,361
550,466,360
560,466,360
570,466,361
580,461,360
590,465,362
600,464,360
610,465,360
620,465,363
630,465,360
640,465,360
650,466,360
660,465,360
670,465,361
680,466,359
690,466,360
700,465,360
710,466,359
720,465,363
730,463,358
740,465,361
750,467,360
760,466,360
770,466,362
780,464,360
790,466,360
800,464,359
810,465,361
820,467,361
830,464,358
840,466,362
850,466,360
860,466,360
870,466,363
880,465,360
890,465,361
900,466,360
910,464,360
920,465,363
930,464,360
940,465,361
950,467,360
960,465,360
970,466,363
980,466,360
990,466,361
