timestamp,MQ-135,MQ-7
0,392,524
10,391,518
20,388,519
30,389,518
40,389,519
50,387,516
60,388,518
70,389,518
80,389,519
90,387,518
100,389,517
110,388,519
120,388,517
130,390,517
140,389,519
150,389,518
160,389,519
170,392,518
180,392,519
190,392,518
200,394,519
210,391,516
220,392,518
230,392,518
240,392,517
250,395,518
260,393,518
270,394,519
280,392,518
290,392,518
300,393,519
310,394,520
320,394,519
330,392,519
340,391,518
350,392,518
360,394,517
370,392,518
380,392,519
390,393,520
400,390,518
410,394,518
420,393,517
430,393,517
440,393,518
450,393,516
460,392,518
470,395,517
480,391,519
490,394,518
500,393,518
510,393,520
520,393,519
530,394,519
540,392,518
550,393,517
560,392,519
570,392,517
580,395,518
590,396,517
600,391,518
610,393,518
620,393,518
630,395,518
640,386,518
650,392,517
660,390,518
670,392,517
680,392,518
690,392,518
700,391,517
710,393,517
720,394,517
730,397,518
740,395,518
750,394,518
760,393,518
770,393,518
780,395,518
790,394,518
800,392,517
810,393,519
820,393,517
830,394,518
840,393,518
850,393,519
860,392,519
870,391,517
880,393,518
890,393,517
900,395,517
910,394,519
920,392,518
930,393,518
940,393,518
950,392,518
960,393,517
970,394,517
980,393,518
990,394,518
