timestamp,MQ-135,MQ-7
0,463,350
10,462,358
20,462,358
30,462,359
40,462,358
50,463,361
60,462,359
70,462,360
80,462,359
90,462,360
100,462,359
110,463,360
120,464,359
130,462,359
140,459,360
150,463,361
160,462,360
170,462,360
180,462,360
190,463,358
200,462,360
210,462,360
220,462,360
230,462,361
240,463,360
250,465,361
260,463,360
270,464,361
280,463,360
290,463,361
300,461,361
310,463,360
320,461,360
330,464,360
340,466,361
350,462,362
360,465,361
370,464,361
380,463,360
390,465,360
400,466,362
410,464,359
420,464,360
430,467,359
440,464,362
450,462,360
460,463,361
470,463,361
480,458,360
490,463,360
500,464,361
510,462,360
520,463,362
530,463,362
540,463,362
550,464,361
560,464,361
570,462,361
580,466,361
590,461,362
600,464,362
610,463,362
620,463,360
630,464,361
640,464,361
650,463,361
660,464,362
670,465,362
680,462,360
690,462,362
700,464,360
710,463,360
720,464,362
730,464,360
740,464,362
750,464,361
760,462,360
770,464,360
780,463,360
790,463,360
800,463,360
810,464,360
820,464,363
830,464,361
840,463,362
850,464,361
860,463,360
870,463,362
880,462,361
890,462,362
900,464,361
910,463,362
920,465,362
930,464,360
940,464,361
950,462,361
960,463,360
970,464,360
980,464,358
990,462,361
