timestamp,MQ-135,MQ-7
0,294,492
10,293,482
20,296,483
30,288,480
40,285,480
50,284,481
60,281,478
70,289,480
80,294,482
90,295,482
100,297,483
110,296,480
120,300,483
130,300,482
140,298,482
150,299,483
160,302,483
170,300,482
180,299,481
190,299,482
200,297,481
210,297,480
220,299,482
230,294,481
240,295,482
250,292,480
260,298,481
270,298,482
280,297,480
290,297,483
300,298,482
310,298,481
320,298,481
330,299,481
340,301,483
350,301,483
360,299,481
370,302,482
380,301,482
390,302,483
400,302,483
410,300,481
420,301,483
430,302,480
440,301,482
450,306,481
460,303,482
470,303,483
480,303,482
490,302,481
500,303,482
510,303,482
520,300,482
530,302,482
540,302,483
550,304,483
560,303,482
570,304,483
580,301,483
590,303,482
600,300,481
610,302,481
620,301,482
630,301,481
640,302,481
650,303,480
660,300,481
670,302,481
680,302,481
690,303,483
700,302,482
710,302,480
720,302,482
730,302,480
740,302,483
750,302,481
760,303,481
770,302,483
780,303,480
790,302,483
800,301,482
810,302,480
820,302,482
830,301,480
840,300,479
850,300,479
860,301,480
870,300,481
880,301,481
890,301,480
900,300,481
910,302,482
920,304,482
930,301,480
940,301,481
950,302,481
960,303,481
970,301,482
980,303,480
990,303,481
