timestamp,MQ-135,MQ-7
0,456,524
10,457,519
20,455,519
30,455,519
40,457,517
50,452,518
60,452,518
70,451,517
80,450,517
90,449,516
100,451,517
110,450,517
120,448,517
130,449,517
140,449,517
150,450,517
160,450,517
170,452,517
180,450,519
190,451,516
200,455,517
210,452,518
220,454,516
230,454,518
240,455,518
250,454,518
260,455,517
270,453,518
280,453,518
290,455,518
300,456,517
310,456,517
320,455,517
330,453,517
340,456,517
350,456,516
360,453,517
370,454,516
380,455,517
390,455,517
400,455,518
410,453,517
420,452,517
430,454,519
440,454,517
450,453,517
460,454,518
470,454,518
480,454,518
490,451,518
500,453,516
510,453,515
520,453,516
530,453,517
540,453,516
550,458,518
560,457,518
570,454,518
580,455,518
590,455,518
600,455,518
610,456,516
620,454,518
630,453,517
640,454,518
650,456,518
660,455,517
670,455,517
680,454,516
690,456,518
700,457,518
710,454,518
720,454,517
730,455,518
740,455,516
750,455,516
760,457,518
770,457,517
780,455,519
790,455,516
800,456,518
810,455,517
820,453,516
830,455,517
840,455,517
850,454,518
860,455,516
870,454,517
880,454,516
890,454,519
900,453,518
910,453,517
920,453,518
930,453,517
940,455,518
950,453,517
960,455,517
970,455,517
980,455,516
990,453,519
