timestamp,MQ-135,MQ-7
0,459,352
10,460,358
20,459,359
30,459,360
40,459,359
50,460,362
60,462,360
70,460,360
80,460,363
90,460,360
100,460,361
110,460,360
120,461,360
130,461,361
140,461,361
150,462,361
160,460,361
170,459,361
180,460,360
190,460,360
200,460,360
210,458,361
220,462,360
230,462,363
240,460,360
250,461,362
260,462,361
270,461,360
280,461,360
290,461,362
300,462,363
310,461,360
320,461,359
330,461,360
340,464,360
350,460,359
360,461,360
370,463,359
380,463,361
390,465,361
400,463,363
410,463,360
420,462,359
430,461,363
440,462,358
450,461,363
460,462,360
470,463,360
480,461,363
490,460,360
500,461,362
510,462,363
520,461,361
530,461,362
540,461,359
550,464,363
560,463,362
570,462,360
580,461,362
590,462,359
600,461,361
610,463,360
620,462,360
630,465,363
640,462,361
650,462,361
660,462,362
670,463,359
680,463,362
690,462,360
700,462,362
710,462,361
720,460,361
730,463,363
740,463,361
750,465,362
760,462,360
770,461,360
780,461,362
790,462,360
800,462,361
810,463,362
820,462,360
830,463,362
840,464,360
850,462,361
860,464,360
870,463,362
880,462,363
890,464,361
900,461,361
910,461,361
920,463,362
930,464,364
940,463,360
950,463,362
960,464,362
970,462,360
980,462,362
990,463,361
