timestamp,MQ-135,MQ-7
0,465,353
10,464,360
20,463,359
30,463,359
40,465,361
50,464,360
60,465,362
70,464,361
80,463,361
90,463,360
100,461,359
110,463,362
120,463,359
130,462,360
140,463,362
150,462,361
160,462,362
170,463,359
180,462,361
190,462,363
200,462,359
210,462,362
220,462,361
230,463,359
240,464,364
250,464,361
260,465,362
270,465,362
280,465,363
290,466,362
300,465,360
310,465,363
320,467,361
330,466,361
340,466,363
350,467,361
360,466,362
370,466,360
380,465,360
390,466,363
400,466,359
410,466,362
420,466,361
430,466,362
440,466,363
450,466,361
460,465,363
470,467,361
480,466,360
490,466,362
500,466,360
510,465,361
520,467,361
530,467,363
540,467,363
550,467,360
560,466,363
570,466,359
580,465,362
590,466,361
600,466,360
610,467,361
620,464,361
630,466,361
640,466,360
650,467,362
660,467,364
670,466,361
680,466,362
690,466,362
700,467,360
710,467,362
720,466,362
730,466,362
740,467,363
750,467,360
760,467,362
770,465,360
780,464,362
790,466,362
800,466,362
810,465,362
820,465,363
830,468,362
840,467,360
850,467,360
860,468,360
870,469,360
880,467,363
890,468,362
900,468,361
910,469,363
920,467,360
930,465,361
940,467,362
950,466,361
960,466,364
970,466,359
980,469,363
990,466,363
