timestamp,MQ-135,MQ-7
0,356,345
10,359,355
20,354,356
30,356,357
40,355,358
50,353,359
60,354,358
70,356,359
80,355,357
90,355,360
100,354,359
110,355,360
120,358,360
130,354,360
140,355,359
150,355,360
160,355,359
170,354,361
180,354,358
190,355,359
200,353,359
210,352,361
220,353,360
230,354,361
240,354,359
250,354,359
260,355,359
270,354,358
280,355,359
290,355,360
300,355,358
310,355,359
320,354,360
330,356,359
340,356,359
350,357,358
360,355,360
370,357,358
380,354,359
390,357,359
400,356,360
410,357,362
420,356,359
430,355,359
440,355,359
450,356,358
460,356,359
470,357,359
480,356,359
490,356,359
500,355,358
510,356,359
520,356,359
530,354,361
540,355,359
550,356,358
560,355,361
570,356,357
580,357,358
590,355,359
600,356,360
610,356,359
620,355,358
630,355,359
640,355,359
650,356,359
660,356,360
670,356,359
680,356,360
690,356,359
700,355,357
710,354,360
720,355,359
730,356,360
740,357,358
750,354,358
760,355,361
770,355,358
780,355,360
790,358,358
800,354,357
810,353,359
820,354,358
830,354,359
840,354,358
850,354,358
860,355,358
870,354,358
880,354,359
890,354,358
900,355,357
910,354,358
920,355,357
930,355,357
940,353,357
950,355,356
960,354,358
970,352,358
980,354,357
990,354,357
