timestamp,MQ-135,MQ-7
0,284,510
10,283,496
20,285,496
30,284,496
40,285,497
50,286,496
60,287,498
70,288,495
80,286,495
90,290,496
100,288,496
110,288,497
120,288,497
130,290,496
140,288,496
150,288,498
160,287,497
170,288,497
180,288,495
190,288,498
200,288,495
210,289,497
220,287,497
230,289,497
240,289,497
250,290,496
260,290,497
270,290,496
280,289,497
290,290,497
300,290,496
310,290,498
320,289,496
330,290,497
340,290,497
350,290,496
360,290,496
370,289,497
380,290,498
390,290,496
400,289,495
410,288,495
420,287,495
430,289,495
440,289,497
450,289,496
460,288,496
470,289,495
480,289,495
490,290,497
500,290,496
510,290,496
520,290,495
530,290,496
540,290,496
550,290,495
560,290,497
570,290,495
580,291,495
590,291,495
600,290,497
610,291,497
620,290,495
630,289,494
640,291,497
650,290,496
660,290,497
670,291,495
680,291,495
690,291,496
700,291,495
710,290,495
720,290,495
730,290,495
740,292,495
750,291,497
760,291,495
770,291,496
780,293,495
790,292,496
800,291,495
810,291,497
820,291,495
830,291,495
840,289,494
850,292,496
860,292,497
870,292,495
880,292,496
890,292,495
900,292,495
910,291,495
920,291,496
930,291,495
940,291,495
950,292,495
960,292,495
970,292,496
980,292,495
990,294,495
