timestamp,MQ-135,MQ-7
0,398,523
10,399,516
20,397,516
30,397,517
40,393,515
50,392,515
60,394,515
70,394,513
80,394,514
90,391,515
100,394,514
110,395,516
120,392,516
130,393,513
140,392,516
150,392,514
160,389,514
170,395,515
180,396,515
190,395,515
200,397,517
210,397,516
220,395,515
230,396,515
240,396,516
250,396,515
260,393,514
270,397,514
280,399,516
290,396,516
300,396,517
310,397,516
320,395,515
330,395,516
340,394,515
350,395,517
360,395,516
370,393,514
380,396,516
390,399,515
400,395,516
410,397,514
420,397,516
430,395,514
440,395,515
450,397,515
460,400,516
470,397,515
480,395,516
490,396,516
500,397,514
510,398,516
520,396,516
530,396,517
540,395,517
550,392,515
560,395,514
570,397,515
580,396,516
590,397,516
600,396,517
610,398,516
620,399,517
630,395,515
640,395,515
650,397,516
660,395,515
670,396,516
680,395,517
690,399,516
700,401,514
710,399,516
720,398,516
730,396,517
740,397,515
750,397,516
760,398,517
770,396,515
780,395,515
790,397,517
800,398,516
810,400,517
820,399,516
830,396,516
840,397,515
850,399,517
860,398,516
870,398,516
880,397,515
890,396,515
900,399,517
910,396,516
920,400,516
930,399,517
940,396,516
950,398,515
960,399,516
970,399,515
980,400,515
990,396,517
