timestamp,MQ-135,MQ-7
0,445,524
10,442,518
20,442,516
30,443,518
40,440,516
50,439,517
60,438,518
70,436,517
80,439,517
90,436,516
100,435,516
110,436,517
120,438,517
130,438,516
140,436,516
150,436,517
160,436,516
170,435,516
180,437,516
190,439,518
200,437,517
210,439,515
220,440,516
230,440,517
240,439,517
250,437,517
260,440,517
270,438,517
280,438,516
290,439,518
300,438,516
310,438,516
320,439,516
330,439,516
340,439,516
350,439,517
360,440,517
370,440,516
380,439,517
390,440,516
400,441,516
410,440,518
420,440,515
430,439,516
440,440,517
450,440,516
460,439,517
470,439,517
480,442,517
490,439,516
500,438,517
510,439,518
520,440,516
530,440,517
540,440,516
550,439,516
560,440,516
570,441,517
580,441,518
590,441,516
600,440,516
610,441,517
620,439,517
630,440,515
640,440,516
650,439,515
660,437,515
670,440,518
680,439,516
690,440,518
700,440,517
710,438,516
720,440,516
730,439,516
740,439,516
750,440,516
760,439,517
770,441,515
780,441,516
790,441,517
800,441,516
810,441,516
820,443,516
830,441,515
840,442,516
850,441,516
860,441,516
870,441,514
880,441,517
890,442,516
900,441,515
910,441,515
920,440,515
930,440,516
940,442,516
950,442,516
960,444,516
970,443,517
980,443,516
990,444,516
