timestamp,MQ-135,MQ-7
0,463,351
10,464,358
20,463,359
30,463,360
40,462,358
50,464,360
60,461,359
70,459,360
80,461,361
90,462,360
100,462,362
110,463,360
120,463,359
130,461,361
140,462,359
150,463,361
160,462,359
170,463,359
180,461,361
190,462,360
200,464,360
210,462,359
220,462,361
230,463,360
240,462,360
250,464,362
260,463,361
270,463,359
280,462,362
290,462,361
300,462,362
310,462,360
320,463,360
330,461,362
340,462,358
350,461,362
360,460,359
370,459,360
380,462,362
390,462,360
400,461,361
410,460,361
420,460,360
430,464,363
440,461,361
450,461,363
460,461,360
470,462,360
480,462,362
490,463,361
500,465,362
510,462,361
520,462,360
530,463,362
540,461,361
550,463,362
560,463,361
570,464,360
580,463,362
590,462,359
600,463,360
610,464,361
620,462,359
630,461,361
640,462,360
650,463,362
660,461,361
670,462,360
680,462,361
690,461,360
700,463,361
710,463,360
720,463,361
730,462,362
740,462,359
750,461,363
760,463,361
770,463,361
780,463,361
790,459,360
800,462,361
810,465,360
820,463,360
830,463,363
840,463,361
850,462,362
860,463,362
870,463,360
880,464,362
890,464,359
900,463,361
910,461,361
920,465,359
930,462,360
940,463,359
950,462,363
960,463,360
970,463,360
980,463,361
990,463,361
