timestamp,MQ-135,MQ-7
0,457,351
10,461,357
20,458,359
30,458,357
40,457,359
50,457,360
60,460,360
70,457,360
80,457,360
90,458,360
100,457,359
110,458,363
120,457,359
130,458,360
140,457,361
150,458,360
160,457,362
170,456,359
180,457,360
190,458,360
200,457,360
210,458,360
220,457,359
230,459,360
240,460,360
250,461,359
260,460,362
270,457,362
280,458,358
290,458,361
300,459,360
310,461,361
320,459,360
330,460,358
340,463,363
350,463,360
360,462,362
370,463,362
380,459,360
390,460,362
400,461,361
410,461,362
420,462,359
430,458,360
440,460,362
450,460,360
460,462,362
470,460,360
480,459,360
490,461,361
500,460,361
510,461,360
520,461,359
530,462,360
540,460,361
550,461,358
560,459,363
570,459,361
580,460,359
590,460,360
600,460,359
610,461,360
620,461,360
630,460,360
640,461,361
650,461,359
660,460,360
670,461,362
680,461,359
690,461,361
700,461,359
710,458,361
720,462,360
730,463,359
740,462,362
750,462,359
760,462,360
770,462,360
780,461,360
790,461,360
800,461,359
810,463,360
820,461,360
830,464,359
840,460,362
850,462,358
860,462,360
870,461,360
880,464,360
890,463,360
900,460,360
910,463,361
920,462,362
930,462,359
940,463,361
950,461,359
960,464,359
970,462,360
980,458,359
990,459,361
