timestamp,MQ-135,MQ-7
0,461,351
10,461,358
20,462,361
30,461,360
40,460,361
50,461,361
60,460,358
70,460,361
80,459,357
90,458,360
100,459,358
110,461,359
120,460,360
130,453,360
140,459,360
150,458,360
160,454,361
170,454,362
180,453,360
190,455,360
200,456,359
210,456,359
220,459,361
230,452,359
240,457,361
250,458,358
260,457,359
270,455,361
280,457,359
290,458,362
300,457,358
310,464,360
320,457,361
330,458,359
340,457,360
350,458,360
360,461,361
370,458,363
380,459,358
390,458,361
400,459,358
410,459,360
420,460,361
430,457,360
440,458,361
450,459,359
460,459,360
470,459,362
480,461,360
490,455,361
500,457,359
510,460,362
520,457,361
530,458,359
540,458,361
550,462,359
560,459,360
570,458,362
580,459,360
590,461,362
600,461,359
610,459,358
620,460,362
630,459,358
640,460,361
650,462,361
660,460,359
670,458,362
680,459,359
690,459,360
700,462,360
710,462,362
720,462,363
730,461,360
740,460,360
750,460,359
760,460,361
770,459,360
780,460,359
790,458,360
800,463,360
810,463,361
820,461,362
830,458,359
840,460,361
850,461,360
860,461,361
870,460,363
880,459,360
890,464,362
900,459,360
910,460,361
920,462,361
930,460,358
940,459,360
950,459,359
960,460,359
970,458,361
980,459,361
990,461,361
