timestamp,MQ-135,MQ-7
0,386,524
10,385,517
20,386,517
30,387,516
40,388,516
50,386,516
60,387,517
70,387,516
80,388,515
90,387,516
100,387,516
110,386,516
120,387,515
130,388,516
140,389,516
150,387,517
160,387,515
170,387,515
180,389,514
190,388,515
200,388,515
210,388,515
220,388,516
230,388,516
240,390,514
250,388,514
260,389,517
270,388,514
280,386,515
290,389,515
300,388,515
310,389,517
320,389,515
330,388,516
340,392,516
350,386,515
360,389,516
370,390,515
380,390,516
390,386,515
400,387,514
410,389,515
420,389,515
430,389,517
440,389,515
450,387,515
460,387,514
470,385,515
480,388,517
490,388,515
500,387,516
510,388,517
520,390,516
530,388,515
540,391,515
550,390,516
560,388,515
570,389,515
580,388,515
590,390,515
600,388,515
610,388,516
620,390,515
630,388,514
640,385,515
650,387,514
660,387,515
670,389,516
680,389,516
690,389,514
700,390,516
710,387,515
720,388,514
730,389,515
740,391,514
750,389,514
760,387,515
770,390,517
780,390,515
790,390,517
800,391,515
810,389,515
820,388,516
830,390,515
840,390,514
850,392,515
860,389,517
870,388,515
880,389,515
890,389,514
900,388,514
910,388,515
920,389,514
930,386,514
940,388,515
950,388,515
960,390,516
970,390,516
980,390,516
990,390,515
