timestamp,MQ-135,MQ-7
0,383,495
10,382,484
20,382,483
30,384,483
40,382,483
50,382,483
60,381,484
70,381,483
80,382,484
90,382,484
100,382,483
110,381,483
120,380,484
130,379,481
140,379,481
150,380,483
160,380,481
170,378,482
180,382,481
190,380,481
200,380,481
210,381,482
220,379,483
230,380,482
240,382,482
250,381,481
260,381,483
270,380,481
280,381,482
290,383,482
300,384,482
310,381,482
320,382,482
330,384,481
340,382,481
350,383,482
360,382,481
370,380,482
380,384,482
390,382,483
400,383,481
410,382,483
420,383,480
430,384,481
440,382,483
450,384,482
460,383,482
470,384,481
480,384,482
490,384,482
500,384,483
510,383,482
520,384,480
530,383,480
540,384,482
550,381,483
560,383,480
570,384,482
580,384,482
590,383,482
600,386,481
610,385,482
620,385,482
630,384,482
640,385,482
650,385,482
660,386,482
670,384,482
680,388,483
690,384,482
700,385,482
710,385,482
720,385,482
730,383,482
740,384,482
750,384,480
760,385,482
770,384,480
780,382,481
790,383,481
800,385,481
810,385,482
820,385,480
830,385,482
840,384,482
850,385,480
860,385,483
870,384,481
880,384,480
890,387,482
900,386,481
910,388,481
920,385,481
930,387,480
940,385,483
950,384,481
960,385,480
970,386,481
980,386,482
990,385,481
