timestamp,MQ-135,MQ-7
0,460,350
10,456,355
20,457,359
30,455,356
40,456,359
50,454,358
60,454,359
70,456,360
80,455,358
90,455,360
100,455,358
110,455,359
120,453,362
130,461,359
140,456,361
150,455,359
160,455,359
170,457,361
180,457,358
190,458,360
200,457,361
210,458,360
220,457,359
230,456,358
240,458,360
250,456,361
260,459,360
270,458,361
280,459,359
290,459,361
300,458,364
310,459,362
320,460,362
330,460,361
340,458,363
350,459,362
360,459,360
370,460,362
380,461,360
390,457,361
400,459,362
410,460,362
420,462,364
430,460,362
440,459,362
450,460,361
460,460,360
470,463,362
480,461,359
490,463,362
500,461,362
510,461,361
520,459,362
530,459,360
540,459,363
550,459,363
560,461,361
570,460,362
580,461,359
590,461,360
600,462,362
610,461,361
620,461,362
630,462,358
640,458,362
650,460,361
660,461,361
670,461,363
680,460,360
690,461,361
700,461,361
710,461,361
720,461,361
730,462,361
740,461,361
750,460,362
760,461,361
770,460,363
780,458,361
790,460,362
800,460,362
810,459,361
820,460,362
830,461,360
840,461,361
850,459,361
860,461,362
870,461,362
880,461,359
890,462,361
900,461,362
910,461,361
920,460,362
930,461,359
940,460,363
950,461,362
960,461,359
970,461,362
980,462,360
990,465,360
