timestamp,MQ-135,MQ-7
0,458,348
10,457,358
20,456,357
30,459,356
40,458,360
50,458,359
60,458,357
70,456,359
80,455,360
90,457,359
100,459,357
110,457,359
120,459,360
130,458,359
140,459,359
150,460,360
160,458,361
170,457,360
180,456,358
190,457,360
200,458,360
210,458,362
220,458,362
230,457,362
240,457,362
250,460,361
260,459,361
270,458,361
280,457,362
290,460,362
300,460,361
310,460,363
320,461,363
330,457,361
340,464,364
350,460,360
360,460,361
370,458,360
380,457,358
390,458,361
400,456,360
410,458,359
420,458,361
430,459,362
440,458,360
450,460,360
460,460,361
470,461,361
480,460,360
490,459,362
500,459,359
510,460,362
520,460,361
530,461,360
540,459,362
550,461,361
560,461,360
570,459,363
580,457,360
590,461,363
600,460,359
610,461,362
620,460,362
630,460,361
640,456,363
650,459,361
660,461,362
670,460,362
680,459,361
690,459,361
700,460,362
710,459,361
720,460,362
730,459,360
740,459,362
750,460,360
760,457,363
770,456,363
780,459,359
790,458,361
800,459,361
810,459,361
820,458,361
830,459,359
840,459,362
850,459,361
860,459,361
870,458,361
880,459,360
890,458,362
900,459,360
910,459,361
920,458,362
930,458,361
940,459,361
950,459,361
960,458,361
970,459,361
980,459,359
990,459,360
