timestamp,MQ-135,MQ-7
0,452,522
10,451,518
20,452,518
30,452,518
40,452,518
50,452,517
60,452,518
70,450,517
80,450,519
90,451,516
100,447,517
110,449,518
120,451,518
130,453,518
140,453,516
150,452,517
160,451,517
170,452,517
180,453,516
190,453,518
200,451,516
210,452,517
220,452,517
230,454,518
240,452,518
250,453,518
260,454,518
270,455,518
280,452,516
290,453,518
300,451,517
310,451,517
320,452,517
330,453,518
340,454,517
350,457,518
360,458,518
370,454,518
380,454,518
390,453,517
400,453,517
410,453,517
420,453,517
430,454,519
440,455,518
450,453,518
460,459,519
470,453,518
480,453,517
490,454,518
500,454,518
510,454,519
520,452,518
530,453,518
540,458,518
550,456,516
560,457,517
570,455,517
580,453,517
590,453,515
600,452,516
610,453,518
620,453,518
630,454,518
640,452,518
650,451,518
660,454,519
670,453,518
680,453,517
690,452,516
700,452,519
710,452,516
720,454,518
730,455,517
740,455,518
750,456,517
760,456,519
770,456,518
780,454,519
790,453,516
800,454,517
810,454,517
820,453,517
830,451,518
840,455,518
850,456,517
860,456,517
870,455,517
880,454,518
890,453,519
900,452,517
910,452,516
920,452,517
930,454,516
940,454,519
950,455,519
960,454,517
970,455,517
980,455,518
990,452,517
