timestamp,MQ-135,MQ-7
0,463,354
10,462,359
20,462,362
30,462,360
40,461,361
50,463,359
60,462,360
70,462,360
80,462,359
90,462,360
100,462,361
110,462,359
120,459,361
130,461,359
140,462,360
150,461,360
160,461,358
170,461,362
180,462,361
190,462,361
200,462,361
210,461,360
220,462,363
230,461,360
240,463,362
250,463,359
260,462,360
270,462,362
280,462,359
290,463,362
300,463,360
310,465,359
320,458,363
330,463,361
340,461,360
350,463,361
360,463,359
370,462,361
380,463,361
390,462,363
400,461,361
410,464,359
420,464,362
430,459,360
440,465,361
450,463,362
460,463,359
470,466,362
480,464,360
490,464,359
500,463,359
510,463,359
520,463,361
530,466,358
540,462,360
550,462,358
560,463,361
570,463,362
580,463,358
590,465,362
600,461,362
610,464,360
620,464,364
630,463,362
640,464,364
650,465,362
660,464,360
670,463,362
680,461,361
690,464,362
700,464,361
710,463,360
720,463,362
730,464,360
740,465,362
750,463,362
760,464,361
770,463,361
780,462,361
790,463,363
800,463,359
810,464,359
820,464,362
830,464,362
840,463,362
850,463,362
860,461,360
870,463,362
880,462,359
890,463,361
900,463,361
910,461,362
920,461,361
930,461,359
940,461,361
950,460,360
960,460,361
970,464,362
980,461,361
990,464,361
