timestamp,MQ-135,MQ-7
0,460,486
10,467,481
20,463,480
30,452,477
40,455,476
50,454,479
60,456,478
70,457,477
80,453,477
90,456,478
100,453,478
110,451,476
120,452,475
130,452,476
140,452,475
150,454,478
160,457,477
170,463,478
180,467,479
190,466,478
200,465,478
210,466,479
220,468,477
230,468,478
240,468,479
250,463,480
260,468,479
270,470,479
280,470,479
290,470,479
300,467,479
310,468,479
320,466,478
330,466,479
340,467,478
350,465,478
360,465,478
370,467,479
380,466,479
390,467,479
400,465,477
410,467,476
420,468,477
430,468,479
440,470,477
450,470,480
460,469,477
470,470,479
480,470,477
490,467,479
500,467,478
510,468,478
520,470,478
530,469,479
540,470,479
550,469,479
560,470,478
570,469,479
580,467,479
590,470,479
600,470,479
610,468,477
620,470,477
630,470,479
640,468,478
650,470,478
660,470,477
670,469,479
680,470,479
690,470,479
700,470,478
710,468,479
720,467,478
730,468,479
740,468,479
750,472,480
760,471,479
770,471,479
780,471,479
790,470,477
800,470,479
810,469,478
820,468,478
830,467,478
840,468,478
850,466,478
860,469,479
870,471,479
880,470,479
890,471,479
900,469,481
910,467,478
920,469,478
930,469,477
940,470,478
950,469,479
960,470,477
970,468,479
980,469,479
990,469,478
