timestamp,MQ-135,MQ-7
0,470,488
10,469,482
20,466,480
30,463,478
40,462,479
50,446,476
60,439,474
70,458,475
80,449,476
90,445,476
100,452,476
110,448,477
120,454,476
130,453,476
140,454,476
150,452,477
160,452,477
170,455,476
180,455,476
190,455,476
200,457,476
210,465,479
220,467,478
230,468,479
240,475,481
250,472,479
260,471,480
270,473,480
280,473,480
290,471,480
300,474,479
310,471,479
320,475,478
330,475,481
340,473,482
350,474,481
360,471,481
370,473,481
380,473,481
390,472,480
400,475,480
410,474,483
420,474,479
430,475,481
440,473,482
450,475,481
460,473,480
470,475,481
480,477,481
490,477,481
500,476,480
510,477,482
520,477,482
530,478,482
540,477,481
550,477,482
560,475,481
570,475,480
580,475,481
590,476,480
600,477,481
610,476,483
620,476,481
630,474,480
640,477,480
650,478,481
660,476,482
670,475,482
680,475,481
690,475,481
700,475,480
710,474,480
720,475,480
730,478,482
740,478,483
750,476,480
760,476,480
770,476,480
780,478,481
790,479,482
800,478,482
810,477,480
820,478,482
830,479,482
840,478,482
850,478,481
860,478,483
870,476,480
880,476,480
890,475,480
900,474,480
910,478,482
920,477,480
930,477,481
940,476,481
950,475,480
960,473,482
970,476,482
980,476,480
990,475,481
