timestamp,MQ-135,MQ-7
0,448,525
10,445,516
20,444,516
30,440,515
40,440,517
50,440,517
60,440,517
70,439,515
80,439,518
90,441,518
100,440,517
110,442,515
120,441,518
130,439,517
140,440,517
150,442,516
160,440,516
170,440,515
180,441,515
190,441,517
200,441,517
210,442,516
220,442,516
230,443,516
240,443,517
250,441,518
260,443,517
270,446,515
280,444,518
290,447,517
300,444,518
310,445,517
320,445,517
330,443,518
340,442,517
350,444,517
360,445,518
370,444,517
380,444,517
390,445,517
400,445,516
410,446,517
420,445,516
430,443,517
440,444,516
450,445,517
460,443,518
470,444,518
480,443,517
490,443,517
500,447,517
510,444,517
520,444,517
530,444,518
540,443,517
550,442,518
560,443,517
570,442,517
580,443,518
590,444,518
600,442,516
610,443,519
620,444,516
630,443,517
640,443,517
650,446,517
660,444,519
670,445,517
680,445,517
690,445,517
700,444,516
710,445,519
720,445,518
730,446,517
740,445,518
750,447,517
760,445,519
770,444,515
780,444,515
790,443,518
800,443,518
810,442,515
820,442,516
830,443,517
840,440,517
850,442,516
860,441,517
870,443,519
880,443,516
890,443,517
900,444,516
910,443,517
920,443,517
930,444,517
940,444,518
950,441,517
960,443,517
970,441,518
980,443,517
990,444,518
