timestamp,MQ-135,MQ-7
0,317,314
10,318,334
20,318,340
30,318,346
40,317,347
50,317,348
60,317,351
70,319,350
80,317,352
90,310,352
100,319,351
110,318,353
120,318,352
130,319,354
140,319,353
150,321,353
160,318,354
170,320,354
180,321,353
190,319,353
200,323,353
210,321,354
220,321,353
230,321,355
240,320,355
250,320,352
260,323,354
270,321,352
280,321,354
290,319,355
300,318,354
310,322,353
320,318,355
330,319,354
340,319,355
350,319,354
360,319,355
370,318,354
380,319,354
390,317,355
400,318,355
410,319,355
420,317,354
430,318,355
440,317,356
450,318,356
460,314,356
470,316,354
480,318,355
490,316,355
500,316,356
510,316,357
520,315,355
530,315,357
540,316,356
550,315,355
560,315,357
570,316,356
580,316,358
590,315,358
600,314,357
610,316,358
620,316,358
630,315,359
640,314,359
650,313,360
660,314,362
670,314,361
680,314,361
690,315,361
700,311,363
710,312,364
720,312,364
730,312,365
740,313,365
750,310,365
760,313,367
770,312,363
780,312,366
790,313,365
800,311,366
810,311,367
820,311,366
830,311,367
840,311,367
850,312,367
860,313,369
870,311,367
880,312,370
890,309,368
900,311,369
910,312,369
920,312,366
930,312,368
940,311,368
950,310,368
960,312,371
970,309,369
980,311,369
990,310,367
