timestamp,MQ-135,MQ-7
0,303,323
10,303,338
20,302,344
30,303,344
40,303,347
50,302,348
60,303,346
70,303,347
80,304,345
90,302,346
100,303,349
110,301,344
120,303,345
130,303,347
140,302,346
150,305,346
160,305,345
170,306,348
180,307,346
190,309,346
200,305,348
210,308,346
220,308,346
230,305,346
240,308,347
250,307,348
260,306,345
270,307,347
280,309,346
290,305,347
300,307,347
310,312,344
320,308,347
330,310,346
340,308,347
350,309,346
360,307,347
370,307,347
380,311,344
390,309,345
400,310,347
410,310,347
420,307,346
430,310,346
440,309,346
450,312,347
460,311,346
470,309,348
480,311,345
490,311,347
500,310,347
510,312,346
520,310,347
530,312,347
540,311,347
550,309,349
560,312,347
570,310,347
580,311,347
590,312,348
600,312,349
610,311,347
620,311,350
630,313,349
640,313,349
650,316,348
660,313,349
670,314,349
680,315,347
690,314,349
700,313,349
710,311,349
720,315,351
730,314,349
740,314,351
750,312,350
760,317,351
770,315,350
780,318,351
790,315,351
800,315,352
810,316,351
820,315,351
830,315,349
840,316,350
850,320,350
860,317,351
870,315,351
880,316,351
890,316,351
900,317,351
910,314,351
920,317,351
930,316,350
940,316,351
950,318,350
960,317,351
970,318,352
980,317,352
990,318,353
