timestamp,MQ-135,MQ-7
0,289,496
10,289,487
20,279,487
30,276,483
40,269,483
50,275,482
60,280,483
70,277,485
80,285,485
90,286,486
100,288,486
110,291,487
120,288,488
130,290,487
140,288,486
150,283,486
160,284,484
170,295,487
180,294,487
190,292,486
200,289,486
210,285,484
220,292,486
230,293,485
240,279,483
250,286,485
260,285,484
270,283,485
280,288,485
290,283,485
300,292,486
310,291,485
320,298,488
330,295,486
340,293,485
350,294,487
360,294,485
370,294,487
380,294,484
390,292,486
400,294,485
410,292,486
420,293,486
430,291,484
440,291,486
450,290,485
460,292,485
470,291,486
480,293,486
490,293,485
500,291,485
510,292,486
520,293,485
530,292,485
540,292,486
550,291,485
560,292,485
570,289,485
580,292,484
590,291,485
600,290,484
610,292,484
620,295,485
630,289,485
640,292,484
650,292,485
660,290,485
670,293,486
680,291,484
690,291,483
700,289,484
710,286,482
720,287,484
730,287,483
740,289,485
750,289,484
760,292,483
770,292,484
780,293,485
790,293,485
800,293,484
810,293,484
820,295,484
830,295,485
840,296,486
850,296,486
860,296,484
870,295,486
880,295,486
890,296,485
900,297,485
910,296,485
920,298,484
930,300,484
940,297,485
950,298,486
960,298,486
970,297,486
980,299,485
990,299,486
