timestamp,MQ-135,MQ-7
0,325,343
10,322,354
20,324,354
30,324,357
40,324,356
50,325,359
60,324,359
70,325,358
80,325,359
90,323,359
100,323,358
110,325,360
120,325,359
130,324,361
140,325,361
150,324,360
160,324,361
170,324,359
180,326,361
190,326,359
200,326,361
210,325,360
220,326,359
230,326,361
240,325,360
250,324,360
260,325,362
270,320,357
280,323,361
290,323,359
300,320,359
310,320,358
320,322,358
330,321,361
340,322,360
350,321,361
360,321,361
370,319,360
380,323,361
390,321,359
400,321,361
410,320,360
420,321,360
430,321,361
440,320,358
450,320,360
460,320,360
470,318,359
480,321,362
490,321,360
500,322,362
510,322,362
520,322,361
530,322,363
540,322,361
550,322,360
560,320,359
570,321,359
580,321,362
590,322,358
600,321,361
610,321,361
620,322,361
630,322,361
640,322,359
650,322,361
660,321,361
670,322,359
680,321,361
690,322,360
700,322,361
710,321,363
720,322,359
730,321,362
740,321,359
750,322,360
760,321,360
770,322,360
780,321,362
790,322,359
800,322,361
810,322,360
820,322,359
830,322,362
840,322,359
850,323,361
860,323,361
870,322,359
880,322,360
890,322,360
900,321,362
910,322,361
920,322,360
930,322,360
940,320,360
950,323,360
960,321,360
970,322,359
980,319,362
990,322,359
