timestamp,MQ-135,MQ-7
0,142,527
10,143,521
20,142,521
30,143,521
40,143,519
50,142,520
60,142,520
70,143,520
80,141,520
90,143,519
100,141,521
110,143,521
120,141,521
130,143,521
140,143,522
150,143,521
160,142,521
170,142,521
180,142,520
190,144,520
200,144,521
210,145,522
220,144,522
230,144,521
240,144,519
250,144,521
260,144,521
270,144,521
280,145,520
290,145,521
300,144,521
310,144,519
320,145,521
330,145,523
340,147,520
350,145,522
360,143,521
370,145,520
380,145,522
390,145,521
400,143,520
410,145,521
420,145,521
430,145,521
440,145,522
450,145,522
460,144,521
470,145,520
480,145,520
490,144,519
500,144,520
510,144,519
520,144,520
530,144,521
540,144,520
550,143,521
560,144,519
570,143,520
580,144,520
590,144,520
600,143,521
610,144,521
620,143,522
630,145,521
640,144,522
650,144,521
660,145,520
670,144,521
680,144,521
690,144,521
700,144,521
710,144,521
720,143,522
730,144,520
740,144,519
750,144,520
760,144,520
770,143,520
780,143,520
790,143,521
800,143,521
810,142,520
820,144,520
830,142,520
840,143,519
850,143,519
860,143,520
870,140,520
880,142,520
890,145,519
900,143,518
910,144,521
920,143,519
930,143,521
940,143,520
950,142,519
960,143,521
970,143,521
980,143,520
990,143,519
