timestamp,MQ-135,MQ-7
0,149,521
10,146,513
20,144,510
30,145,510
40,145,510
50,145,511
60,146,512
70,146,512
80,146,511
90,147,512
100,146,509
110,147,511
120,144,510
130,148,512
140,148,511
150,147,511
160,147,510
170,147,511
180,146,510
190,146,512
200,146,510
210,147,511
220,147,512
230,147,510
240,145,511
250,147,509
260,147,510
270,146,510
280,146,512
290,146,511
300,146,511
310,145,510
320,146,510
330,145,509
340,146,509
350,146,510
360,146,510
370,146,510
380,146,510
390,146,511
400,146,511
410,146,510
420,145,509
430,147,511
440,146,511
450,146,510
460,146,511
470,146,511
480,146,511
490,147,511
500,146,511
510,146,509
520,145,511
530,146,511
540,147,511
550,146,510
560,146,510
570,146,511
580,148,509
590,145,510
600,146,510
610,147,510
620,147,511
630,146,510
640,146,512
650,145,510
660,145,512
670,146,509
680,143,511
690,147,510
700,146,510
710,146,510
720,146,510
730,145,512
740,145,511
750,146,511
760,146,511
770,148,511
780,146,512
790,148,511
800,144,512
810,147,511
820,146,510
830,147,512
840,148,511
850,145,511
860,145,509
870,147,511
880,146,511
890,147,512
900,146,511
910,146,512
920,146,512
930,148,511
940,147,512
950,147,512
960,143,512
970,146,511
980,145,510
990,145,512
