timestamp,MQ-135,MQ-7
0,153,528
10,153,522
20,153,521
30,154,521
40,152,520
50,153,519
60,153,518
70,154,520
80,154,520
90,153,520
100,153,521
110,153,520
120,153,518
130,152,520
140,150,518
150,153,520
160,153,520
170,153,518
180,153,519
190,153,520
200,153,518
210,153,521
220,153,520
230,153,519
240,152,518
250,153,519
260,153,521
270,153,520
280,154,519
290,152,519
300,153,519
310,153,519
320,153,518
330,153,518
340,154,519
350,154,519
360,153,519
370,153,518
380,153,520
390,151,518
400,153,519
410,154,518
420,153,519
430,154,520
440,152,519
450,154,519
460,153,520
470,153,520
480,154,519
490,154,518
500,153,518
510,154,521
520,154,517
530,154,521
540,155,519
550,152,517
560,153,517
570,153,517
580,153,519
590,152,519
600,153,519
610,153,519
620,153,519
630,154,518
640,155,519
650,153,519
660,153,520
670,153,519
680,154,520
690,152,519
700,152,518
710,153,518
720,153,518
730,154,518
740,153,519
750,153,519
760,153,519
770,153,518
780,153,519
790,153,520
800,153,520
810,152,519
820,152,518
830,153,519
840,153,518
850,152,518
860,150,519
870,153,519
880,153,519
890,151,519
900,153,518
910,155,518
920,153,519
930,153,518
940,153,519
950,154,518
960,153,516
970,152,518
980,154,517
990,152,517
