timestamp,MQ-135,MQ-7
0,154,528
10,154,520
20,154,522
30,153,523
40,153,522
50,154,520
60,155,523
70,155,522
80,154,522
90,154,521
100,154,521
110,155,522
120,154,521
130,156,520
140,154,521
150,153,522
160,154,522
170,155,522
180,156,523
190,155,522
200,154,522
210,154,522
220,155,520
230,154,523
240,155,523
250,155,522
260,155,521
270,155,522
280,155,522
290,155,522
300,154,521
310,154,521
320,155,522
330,155,521
340,155,522
350,154,520
360,155,522
370,155,523
380,154,523
390,155,522
400,154,521
410,155,522
420,155,523
430,155,521
440,155,521
450,154,523
460,154,523
470,155,522
480,154,522
490,154,521
500,154,522
510,154,521
520,154,522
530,154,522
540,154,522
550,154,522
560,154,521
570,154,522
580,154,521
590,154,520
600,154,521
610,154,521
620,154,522
630,155,521
640,154,521
650,154,522
660,154,522
670,154,521
680,156,522
690,152,522
700,154,521
710,154,521
720,151,521
730,153,522
740,154,521
750,154,522
760,154,521
770,154,521
780,153,522
790,154,522
800,154,522
810,156,521
820,154,521
830,154,521
840,151,521
850,154,521
860,154,521
870,153,521
880,155,523
890,153,521
900,154,523
910,152,521
920,154,522
930,156,520
940,155,520
950,154,523
960,156,522
970,156,522
980,156,522
990,154,520
