timestamp,MQ-135,MQ-7
0,124,526
10,124,518
20,121,518
30,122,516
40,124,519
50,121,517
60,123,516
70,124,518
80,125,516
90,125,518
100,125,517
110,125,517
120,125,518
130,124,518
140,125,516
150,121,515
160,125,518
170,124,517
180,125,516
190,125,517
200,125,516
210,125,517
220,126,517
230,122,516
240,125,516
250,125,516
260,126,517
270,126,516
280,124,517
290,125,518
300,124,517
310,125,516
320,126,517
330,125,517
340,125,516
350,125,517
360,125,516
370,126,515
380,125,517
390,125,515
400,123,516
410,128,515
420,124,517
430,126,515
440,122,516
450,123,516
460,122,516
470,122,515
480,122,516
490,122,514
500,122,516
510,122,516
520,122,517
530,121,514
540,121,517
550,121,517
560,120,517
570,123,516
580,124,514
590,120,516
600,123,516
610,121,515
620,123,516
630,121,515
640,123,516
650,121,516
660,122,516
670,122,516
680,120,516
690,122,517
700,123,516
710,121,516
720,122,516
730,122,515
740,122,517
750,122,516
760,120,516
770,120,514
780,122,515
790,122,516
800,122,516
810,123,515
820,122,515
830,122,516
840,123,517
850,123,517
860,123,517
870,120,516
880,121,516
890,122,514
900,126,516
910,122,516
920,122,516
930,122,515
940,122,517
950,122,515
960,122,517
970,123,517
980,122,516
990,123,515
