timestamp,MQ-135,MQ-7
0,127,509
10,125,489
20,125,487
30,124,488
40,123,488
50,120,487
60,117,488
70,116,487
80,115,487
90,115,487
100,117,487
110,117,488
120,117,487
130,118,488
140,119,490
150,120,489
160,120,490
170,123,490
180,124,491
190,125,491
200,126,492
210,129,492
220,127,492
230,127,491
240,127,493
250,125,491
260,127,491
270,128,492
280,128,493
290,125,492
300,126,490
310,126,490
320,127,494
330,126,490
340,126,495
350,126,490
360,126,492
370,126,494
380,126,493
390,126,494
400,126,493
410,124,493
420,127,494
430,125,492
440,126,493
450,126,493
460,128,494
470,125,493
480,127,493
490,126,495
500,126,493
510,128,492
520,126,494
530,128,493
540,125,495
550,126,493
560,126,494
570,128,494
580,126,493
590,126,495
600,127,493
610,126,495
620,126,495
630,125,493
640,126,494
650,127,493
660,125,494
670,125,494
680,127,493
690,126,495
700,126,493
710,125,495
720,125,493
730,126,493
740,126,495
750,126,495
760,127,493
770,125,495
780,124,494
790,125,496
800,125,494
810,127,495
820,124,494
830,125,493
840,126,495
850,125,493
860,125,493
870,126,495
880,126,495
890,125,496
900,125,494
910,125,496
920,126,495
930,126,495
940,125,493
950,126,494
960,125,495
970,126,495
980,130,494
990,126,495
