timestamp,MQ-135,MQ-7
0,145,524
10,145,518
20,144,516
30,144,518
40,145,516
50,145,517
60,145,516
70,145,518
80,145,516
90,145,516
100,144,517
110,145,516
120,145,517
130,145,514
140,146,515
150,146,517
160,147,515
170,144,517
180,145,517
190,146,518
200,145,516
210,145,515
220,146,515
230,145,514
240,146,516
250,145,515
260,146,517
270,146,516
280,145,517
290,145,516
300,146,517
310,146,518
320,146,516
330,147,517
340,149,517
350,146,516
360,148,516
370,146,517
380,145,516
390,146,517
400,146,516
410,146,516
420,146,517
430,147,515
440,146,518
450,148,516
460,146,517
470,146,516
480,146,517
490,146,517
500,145,517
510,146,517
520,144,515
530,147,515
540,145,517
550,146,516
560,145,516
570,146,515
580,146,517
590,146,516
600,146,516
610,146,517
620,148,516
630,147,517
640,146,517
650,146,517
660,145,514
670,147,515
680,146,516
690,146,518
700,146,516
710,146,517
720,148,517
730,146,517
740,145,516
750,146,517
760,147,517
770,146,516
780,147,515
790,146,517
800,147,515
810,146,517
820,146,517
830,146,516
840,145,517
850,146,518
860,146,517
870,145,514
880,147,512
890,146,515
900,145,516
910,146,517
920,146,517
930,146,514
940,146,515
950,146,515
960,147,516
970,147,516
980,146,515
990,146,514
