timestamp,MQ-135,MQ-7
0,123,527
10,125,521
20,125,519
30,125,519
40,122,519
50,124,520
60,124,519
70,123,519
80,125,519
90,122,518
100,121,520
110,122,519
120,122,519
130,122,520
140,122,520
150,123,520
160,125,519
170,125,521
180,125,521
190,126,519
200,126,520
210,126,520
220,125,522
230,124,521
240,125,520
250,128,521
260,125,520
270,123,522
280,120,520
290,119,521
300,119,520
310,118,520
320,118,519
330,114,520
340,117,521
350,118,521
360,119,521
370,120,520
380,120,520
390,120,521
400,121,522
410,121,520
420,118,520
430,121,520
440,122,519
450,121,520
460,122,520
470,122,520
480,122,520
490,122,520
500,122,519
510,122,520
520,120,521
530,121,519
540,122,521
550,122,520
560,123,520
570,123,519
580,122,519
590,121,516
600,122,519
610,122,518
620,122,517
630,125,518
640,122,516
650,123,517
660,122,517
670,121,518
680,122,518
690,122,518
700,120,518
710,120,518
720,120,517
730,122,516
740,121,518
750,119,518
760,120,518
770,119,519
780,119,520
790,118,521
800,118,520
810,118,520
820,118,520
830,118,520
840,118,519
850,118,520
860,118,520
870,118,518
880,118,518
890,119,519
900,118,518
910,119,516
920,121,516
930,117,518
940,118,517
950,118,517
960,118,517
970,118,518
980,117,518
990,121,518
