timestamp,MQ-135,MQ-7
0,155,332
10,147,342
20,149,348
30,148,348
40,149,350
50,149,351
60,149,349
70,144,353
80,138,347
90,132,349
100,125,350
110,118,349
120,123,350
130,126,348
140,131,351
150,127,349
160,127,351
170,129,350
180,131,349
190,131,352
200,133,353
210,125,349
220,143,354
230,141,354
240,135,352
250,142,355
260,150,355
270,151,356
280,149,352
290,151,354
300,149,354
310,151,353
320,146,355
330,148,354
340,152,355
350,151,356
360,151,352
370,150,356
380,152,353
390,152,354
400,152,352
410,151,354
420,153,357
430,152,352
440,150,355
450,152,353
460,151,355
470,151,356
480,151,353
490,151,355
500,151,353
510,150,353
520,151,356
530,151,355
540,151,355
550,150,354
560,151,353
570,152,357
580,151,352
590,151,356
600,150,357
610,151,352
620,151,356
630,151,353
640,150,356
650,150,354
660,151,353
670,151,353
680,151,352
690,151,353
700,151,354
710,152,351
720,152,355
730,150,353
740,150,354
750,150,354
760,149,353
770,151,355
780,152,355
790,151,356
800,151,355
810,149,352
820,153,354
830,151,350
840,151,352
850,151,352
860,149,354
870,152,356
880,150,352
890,152,354
900,151,355
910,152,354
920,151,353
930,151,350
940,152,351
950,154,354
960,150,352
970,152,355
980,151,352
990,154,353
