timestamp,MQ-135,MQ-7
0,120,510
10,118,499
20,116,499
30,117,498
40,113,496
50,111,499
60,109,496
70,106,497
80,103,496
90,103,495
100,103,496
110,106,495
120,106,498
130,108,497
140,110,495
150,111,498
160,115,497
170,114,498
180,116,498
190,118,498
200,121,500
210,122,499
220,119,498
230,123,498
240,120,499
250,120,500
260,118,497
270,117,498
280,119,497
290,120,499
300,121,499
310,120,498
320,119,498
330,119,498
340,119,497
350,117,499
360,119,497
370,117,497
380,118,499
390,118,499
400,119,498
410,119,498
420,119,498
430,119,498
440,121,497
450,118,499
460,119,498
470,119,498
480,120,497
490,119,498
500,120,499
510,120,499
520,119,499
530,119,498
540,123,497
550,120,500
560,123,498
570,120,498
580,121,498
590,118,498
600,120,498
610,120,499
620,120,500
630,122,498
640,120,499
650,119,500
660,119,498
670,119,498
680,119,498
690,120,499
700,120,499
710,120,498
720,121,498
730,119,498
740,119,497
750,117,500
760,119,497
770,116,499
780,120,498
790,120,499
800,121,498
810,120,498
820,120,499
830,120,500
840,120,497
850,120,498
860,120,498
870,124,500
880,119,498
890,116,497
900,120,500
910,119,499
920,119,500
930,117,499
940,119,498
950,120,499
960,119,498
970,120,500
980,120,499
990,122,496
