timestamp,MQ-135,MQ-7
0,126,521
10,123,512
20,125,512
30,125,512
40,123,514
50,122,513
60,125,513
70,128,512
80,126,511
90,128,514
100,128,512
110,127,513
120,127,513
130,127,513
140,128,513
150,128,513
160,127,513
170,128,513
180,129,513
190,128,512
200,126,512
210,124,510
220,124,512
230,121,512
240,122,511
250,121,510
260,121,511
270,122,511
280,124,511
290,122,512
300,121,510
310,122,510
320,120,510
330,121,512
340,121,513
350,120,511
360,122,512
370,121,512
380,120,511
390,118,512
400,121,511
410,121,509
420,122,510
430,119,511
440,121,511
450,122,510
460,120,512
470,120,512
480,120,511
490,122,511
500,122,511
510,122,511
520,122,512
530,121,511
540,122,510
550,123,510
560,120,511
570,123,512
580,122,511
590,122,513
600,122,511
610,124,513
620,123,510
630,121,510
640,122,512
650,122,510
660,121,509
670,122,509
680,123,511
690,121,510
700,120,510
710,121,511
720,122,510
730,122,509
740,120,511
750,120,510
760,123,511
770,123,511
780,121,511
790,121,510
800,119,510
810,121,510
820,122,511
830,120,510
840,122,511
850,122,509
860,121,510
870,121,509
880,120,510
890,117,510
900,123,511
910,124,509
920,122,508
930,120,507
940,122,509
950,125,509
960,124,511
970,122,511
980,120,509
990,122,510
