timestamp,MQ-135,MQ-7
0,128,523
10,129,517
20,130,516
30,128,516
40,131,517
50,130,516
60,130,516
70,130,517
80,128,516
90,128,516
100,130,515
110,129,517
120,126,514
130,132,516
140,129,516
150,131,515
160,133,517
170,129,515
180,126,515
190,129,515
200,128,515
210,133,516
220,130,515
230,128,515
240,129,514
250,132,514
260,134,516
270,132,516
280,131,515
290,133,516
300,132,514
310,133,514
320,133,515
330,132,514
340,132,515
350,130,514
360,132,516
370,130,515
380,130,515
390,126,515
400,129,515
410,131,515
420,131,514
430,133,515
440,133,516
450,135,513
460,135,515
470,135,514
480,134,514
490,136,514
500,135,514
510,138,515
520,133,514
530,133,513
540,135,514
550,135,514
560,131,515
570,135,514
580,133,515
590,134,514
600,134,513
610,134,514
620,138,514
630,129,512
640,130,512
650,131,513
660,133,511
670,133,512
680,130,513
690,128,512
700,130,513
710,130,512
720,129,510
730,129,511
740,128,511
750,129,510
760,124,510
770,128,510
780,132,510
790,130,509
800,134,509
810,132,509
820,134,506
830,131,507
840,132,507
850,133,505
860,130,506
870,131,505
880,131,504
890,134,503
900,134,503
910,133,502
920,134,499
930,132,500
940,133,496
950,134,496
960,135,497
970,135,493
980,138,493
990,135,490
