timestamp,MQ-135,MQ-7
0,141,526
10,138,520
20,139,520
30,137,521
40,141,518
50,139,519
60,140,519
70,140,520
80,140,521
90,140,519
100,141,520
110,141,519
120,141,521
130,139,520
140,141,520
150,141,520
160,141,521
170,141,520
180,141,520
190,143,521
200,141,519
210,140,521
220,141,520
230,141,522
240,141,520
250,141,519
260,141,521
270,142,521
280,141,520
290,140,521
300,142,521
310,141,519
320,143,520
330,141,518
340,141,520
350,141,521
360,142,521
370,141,520
380,141,520
390,140,519
400,141,520
410,141,520
420,141,521
430,141,521
440,141,519
450,141,521
460,142,519
470,141,520
480,142,518
490,141,519
500,143,519
510,141,521
520,141,520
530,140,520
540,141,518
550,141,520
560,141,519
570,140,518
580,141,520
590,141,519
600,141,519
610,141,520
620,142,521
630,141,521
640,142,520
650,141,521
660,141,520
670,141,521
680,144,522
690,139,521
700,141,520
710,141,520
720,142,521
730,142,518
740,141,519
750,142,521
760,141,518
770,142,519
780,144,520
790,142,517
800,142,521
810,141,518
820,142,520
830,141,520
840,142,519
850,141,520
860,142,517
870,142,518
880,141,518
890,142,518
900,141,518
910,142,518
920,144,518
930,142,518
940,142,519
950,140,518
960,142,517
970,141,518
980,142,518
990,142,518
