timestamp,MQ-135,MQ-7
0,150,510
10,147,496
20,147,497
30,149,495
40,149,495
50,141,495
60,132,493
70,123,491
80,107,490
90,99,488
100,99,488
110,105,491
120,105,491
130,100,488
140,123,492
150,128,493
160,129,494
170,132,496
180,135,496
190,135,496
200,143,499
210,140,497
220,146,499
230,147,499
240,150,500
250,149,499
260,150,499
270,148,501
280,149,501
290,149,499
300,149,498
310,148,500
320,149,501
330,149,500
340,149,499
350,148,502
360,147,502
370,148,502
380,148,500
390,149,502
400,148,501
410,147,503
420,147,501
430,147,502
440,147,502
450,147,503
460,148,503
470,147,503
480,147,501
490,146,503
500,147,502
510,146,503
520,145,504
530,148,503
540,148,504
550,147,502
560,147,503
570,147,503
580,143,501
590,147,504
600,144,502
610,145,502
620,148,505
630,147,503
640,147,503
650,147,503
660,147,503
670,147,504
680,146,503
690,149,503
700,145,505
710,145,503
720,146,504
730,144,504
740,147,506
750,146,504
760,146,504
770,146,504
780,145,503
790,146,504
800,147,505
810,147,505
820,147,505
830,147,503
840,147,505
850,145,504
860,147,504
870,147,505
880,147,503
890,148,505
900,146,504
910,147,504
920,149,506
930,147,506
940,146,504
950,146,506
960,146,506
970,147,505
980,147,507
990,147,507
