timestamp,MQ-135,MQ-7
0,135,524
10,132,518
20,135,519
30,135,517
40,135,517
50,136,517
60,137,517
70,135,514
80,134,516
90,136,517
100,135,515
110,132,517
120,135,515
130,136,515
140,137,519
150,134,515
160,139,517
170,136,517
180,135,516
190,136,517
200,137,516
210,139,518
220,137,515
230,137,517
240,137,517
250,137,517
260,138,518
270,137,518
280,138,516
290,135,517
300,136,517
310,137,516
320,136,518
330,136,516
340,137,518
350,137,518
360,137,517
370,137,518
380,137,517
390,138,518
400,136,517
410,137,517
420,136,517
430,140,515
440,136,520
450,136,517
460,137,518
470,137,518
480,138,517
490,137,517
500,136,518
510,136,518
520,136,518
530,134,517
540,142,519
550,136,517
560,136,519
570,138,517
580,136,519
590,136,518
600,136,517
610,137,516
620,133,517
630,137,518
640,137,517
650,138,517
660,137,517
670,140,518
680,136,518
690,139,519
700,135,516
710,137,517
720,137,518
730,136,516
740,137,517
750,137,518
760,132,517
770,138,518
780,137,518
790,138,518
800,136,518
810,137,519
820,135,519
830,136,518
840,135,518
850,138,518
860,135,520
870,138,518
880,136,519
890,137,519
900,137,519
910,137,518
920,137,519
930,134,518
940,137,519
950,137,519
960,137,518
970,137,516
980,137,519
990,137,518
