timestamp,MQ-135,MQ-7
0,149,527
10,147,522
20,148,521
30,147,522
40,146,521
50,148,520
60,148,521
70,148,520
80,148,521
90,147,520
100,147,521
110,147,522
120,148,521
130,148,522
140,150,522
150,149,521
160,150,520
170,150,521
180,150,520
190,150,521
200,150,521
210,149,521
220,149,521
230,150,523
240,150,522
250,151,523
260,150,521
270,149,523
280,149,521
290,148,523
300,148,521
310,149,523
320,149,521
330,149,522
340,149,523
350,149,520
360,149,521
370,149,523
380,149,522
390,151,522
400,149,522
410,149,522
420,149,522
430,150,523
440,149,521
450,149,522
460,150,521
470,149,520
480,148,520
490,148,522
500,149,521
510,149,520
520,149,522
530,148,522
540,150,519
550,148,520
560,148,523
570,148,522
580,148,522
590,148,521
600,148,523
610,148,522
620,148,522
630,148,521
640,148,522
650,147,521
660,149,521
670,148,522
680,146,522
690,148,521
700,148,522
710,150,521
720,148,522
730,148,522
740,151,521
750,148,522
760,147,522
770,148,521
780,148,521
790,148,520
800,148,521
810,147,521
820,148,521
830,147,520
840,149,522
850,147,521
860,148,521
870,148,520
880,148,520
890,148,522
900,148,522
910,148,522
920,147,521
930,148,521
940,149,521
950,148,522
960,148,521
970,149,521
980,149,520
990,148,520
