timestamp,MQ-135,MQ-7
0,138,527
10,135,518
20,138,517
30,139,518
40,141,518
50,137,516
60,139,516
70,141,514
80,141,516
90,140,516
100,141,515
110,141,517
120,141,516
130,140,515
140,138,514
150,143,515
160,143,515
170,142,513
180,140,512
190,139,513
200,137,512
210,146,513
220,144,514
230,148,512
240,146,513
250,147,514
260,146,514
270,146,512
280,147,511
290,148,511
300,147,510
310,147,511
320,146,509
330,149,509
340,147,509
350,145,509
360,148,508
370,147,506
380,146,507
390,148,505
400,147,503
410,148,503
420,149,502
430,146,501
440,149,500
450,154,499
460,147,497
470,148,494
480,150,494
490,149,490
500,148,490
510,148,488
520,149,487
530,149,485
540,149,483
550,148,478
560,150,476
570,148,472
580,148,467
590,151,465
600,146,459
610,147,452
620,149,446
630,148,438
640,149,431
650,147,422
660,149,413
670,149,401
680,148,392
690,148,385
700,148,378
710,149,374
720,150,368
730,148,365
740,149,359
750,148,358
760,149,355
770,149,351
780,148,351
790,148,349
800,148,348
810,148,346
820,148,343
830,148,343
840,147,342
850,148,342
860,148,341
870,148,341
880,147,340
890,148,339
900,147,340
910,147,340
920,147,338
930,148,338
940,148,340
950,148,338
960,148,338
970,148,338
980,147,339
990,148,340
