timestamp,MQ-135,MQ-7
0,147,528
10,147,522
20,148,523
30,146,522
40,146,523
50,146,523
60,145,524
70,147,523
80,146,524
90,144,525
100,144,523
110,143,523
120,144,523
130,143,523
140,144,523
150,143,524
160,145,523
170,146,524
180,145,523
190,144,523
200,147,523
210,144,522
220,145,523
230,146,522
240,146,523
250,145,523
260,146,524
270,143,523
280,149,522
290,145,523
300,145,523
310,145,523
320,146,524
330,146,524
340,148,524
350,141,523
360,146,523
370,145,522
380,143,524
390,145,522
400,146,522
410,146,524
420,145,524
430,145,523
440,146,523
450,145,522
460,147,524
470,146,524
480,145,522
490,146,523
500,146,523
510,145,524
520,148,524
530,148,523
540,146,524
550,147,522
560,145,523
570,146,523
580,145,523
590,146,523
600,146,523
610,149,522
620,145,521
630,146,524
640,147,525
650,145,524
660,146,523
670,146,523
680,145,523
690,145,523
700,146,523
710,145,523
720,146,523
730,146,524
740,147,523
750,145,523
760,145,523
770,146,524
780,146,522
790,146,523
800,146,523
810,146,523
820,144,523
830,145,523
840,146,523
850,147,524
860,144,523
870,146,523
880,146,523
890,146,522
900,147,523
910,146,523
920,146,524
930,146,524
940,145,525
950,146,524
960,146,523
970,145,523
980,146,523
990,146,523
