timestamp,MQ-135,MQ-7
0,127,524
10,128,517
20,127,517
30,128,516
40,126,515
50,125,516
60,125,513
70,125,515
80,125,516
90,125,515
100,125,516
110,125,516
120,125,515
130,125,514
140,126,515
150,125,514
160,125,514
170,126,515
180,127,516
190,128,514
200,129,514
210,129,515
220,129,515
230,130,515
240,128,515
250,128,515
260,127,514
270,129,515
280,127,515
290,128,514
300,128,514
310,128,514
320,128,515
330,128,515
340,128,514
350,128,516
360,128,513
370,128,516
380,129,516
390,128,513
400,129,514
410,128,515
420,130,514
430,130,515
440,130,513
450,130,514
460,130,515
470,129,514
480,130,516
490,130,513
500,130,516
510,132,514
520,130,515
530,127,515
540,131,515
550,129,516
560,129,515
570,129,514
580,132,515
590,129,516
600,128,515
610,130,516
620,130,515
630,130,515
640,129,514
650,133,515
660,130,515
670,129,514
680,130,514
690,131,515
700,131,515
710,132,516
720,128,515
730,131,514
740,130,515
750,129,514
760,130,516
770,129,514
780,130,515
790,130,513
800,129,516
810,129,515
820,131,514
830,130,516
840,130,514
850,129,514
860,128,515
870,130,514
880,130,513
890,129,514
900,129,513
910,129,515
920,129,514
930,131,516
940,129,515
950,130,515
960,133,515
970,130,514
980,129,515
990,130,515
