timestamp,MQ-135,MQ-7
0,142,527
10,140,521
20,140,522
30,140,521
40,140,521
50,142,521
60,140,520
70,140,520
80,141,519
90,141,519
100,140,521
110,141,519
120,140,521
130,141,521
140,141,521
150,142,522
160,142,521
170,139,521
180,142,521
190,142,520
200,142,521
210,141,518
220,141,522
230,142,520
240,141,520
250,143,522
260,141,522
270,143,521
280,140,522
290,141,521
300,141,522
310,140,522
320,142,522
330,143,521
340,142,521
350,143,520
360,142,522
370,142,519
380,144,521
390,142,521
400,142,522
410,141,522
420,141,521
430,141,519
440,142,522
450,142,519
460,140,521
470,143,520
480,141,521
490,142,521
500,140,522
510,143,520
520,141,520
530,141,520
540,140,520
550,141,519
560,142,518
570,142,521
580,143,521
590,141,519
600,142,521
610,142,520
620,142,522
630,142,520
640,142,519
650,141,520
660,142,520
670,142,522
680,142,520
690,140,521
700,142,522
710,140,522
720,142,521
730,142,521
740,141,521
750,141,520
760,142,521
770,141,522
780,142,520
790,142,521
800,142,522
810,142,522
820,142,522
830,141,523
840,142,522
850,141,521
860,141,520
870,143,522
880,142,522
890,142,521
900,141,520
910,142,522
920,141,523
930,142,521
940,142,521
950,141,523
960,142,521
970,142,523
980,141,520
990,143,521
