timestamp,MQ-135,MQ-7
0,153,528
10,151,521
20,151,522
30,150,522
40,151,523
50,150,522
60,151,521
70,151,522
80,154,523
90,152,522
100,151,521
110,152,521
120,152,521
130,149,521
140,151,519
150,152,521
160,149,521
170,151,519
180,151,520
190,151,521
200,151,520
210,151,521
220,151,520
230,151,522
240,151,520
250,152,521
260,151,522
270,151,519
280,151,522
290,152,521
300,151,522
310,151,522
320,152,522
330,151,520
340,151,522
350,151,521
360,151,520
370,151,521
380,153,520
390,150,521
400,151,522
410,151,521
420,150,521
430,150,520
440,150,522
450,151,520
460,151,521
470,151,520
480,152,522
490,152,521
500,151,521
510,152,520
520,151,520
530,151,520
540,150,521
550,151,521
560,150,521
570,151,521
580,151,521
590,152,520
600,150,519
610,151,522
620,151,521
630,150,520
640,150,521
650,151,521
660,152,521
670,150,519
680,151,520
690,151,521
700,150,520
710,149,521
720,151,521
730,152,521
740,153,522
750,151,521
760,149,520
770,151,521
780,152,521
790,151,521
800,152,521
810,152,521
820,151,520
830,151,522
840,152,520
850,151,522
860,151,521
870,150,520
880,152,521
890,151,521
900,150,521
910,151,521
920,151,520
930,155,521
940,150,522
950,151,521
960,151,520
970,150,521
980,149,521
990,150,520
