timestamp,MQ-135,MQ-7
0,113,524
10,111,518
20,114,517
30,113,517
40,115,517
50,114,516
60,113,517
70,115,517
80,114,517
90,115,517
100,115,518
110,114,517
120,115,517
130,115,517
140,116,518
150,113,515
160,114,514
170,115,517
180,115,518
190,114,515
200,112,516
210,111,515
220,108,515
230,109,517
240,109,516
250,111,516
260,112,515
270,111,517
280,113,514
290,113,516
300,114,517
310,117,516
320,117,515
330,115,516
340,116,515
350,114,516
360,115,516
370,116,515
380,115,514
390,115,515
400,115,515
410,115,515
420,116,514
430,115,516
440,115,515
450,115,515
460,115,515
470,113,514
480,116,514
490,115,514
500,115,515
510,117,516
520,115,515
530,116,516
540,116,515
550,116,516
560,114,516
570,116,516
580,116,515
590,115,515
600,113,517
610,116,516
620,115,517
630,113,515
640,115,515
650,116,516
660,116,515
670,115,516
680,116,516
690,116,515
700,114,516
710,116,516
720,116,515
730,116,515
740,116,514
750,116,515
760,115,512
770,116,514
780,116,515
790,120,514
800,115,515
810,116,516
820,116,515
830,117,515
840,117,514
850,116,516
860,114,515
870,117,514
880,117,513
890,117,514
900,117,514
910,117,515
920,117,514
930,116,515
940,117,515
950,117,514
960,118,516
970,118,515
980,117,515
990,117,515
