timestamp,MQ-135,MQ-7
0,152,334
10,152,346
20,147,349
30,151,349
40,147,348
50,145,347
60,135,348
70,138,347
80,134,348
90,126,346
100,129,347
110,131,347
120,139,348
130,142,348
140,147,349
150,145,351
160,148,351
170,152,352
180,153,352
190,152,353
200,151,352
210,153,351
220,151,351
230,153,350
240,152,349
250,153,351
260,152,351
270,152,349
280,153,349
290,151,353
300,149,349
310,152,350
320,152,348
330,151,349
340,151,347
350,151,350
360,152,350
370,151,350
380,154,351
390,152,350
400,152,352
410,150,347
420,153,353
430,152,348
440,153,350
450,152,349
460,154,351
470,155,350
480,153,349
490,151,349
500,155,348
510,153,351
520,152,351
530,152,351
540,152,348
550,152,349
560,153,350
570,152,351
580,151,350
590,153,349
600,152,348
610,153,350
620,152,347
630,152,351
640,153,351
650,153,351
660,153,351
670,152,350
680,152,349
690,152,347
700,152,348
710,152,347
720,152,349
730,152,349
740,151,348
750,152,349
760,152,349
770,153,348
780,150,350
790,152,349
800,153,348
810,152,350
820,153,348
830,152,350
840,152,349
850,154,349
860,153,348
870,152,348
880,151,348
890,151,349
900,152,349
910,152,350
920,152,351
930,152,350
940,156,348
950,151,352
960,153,348
970,153,349
980,153,348
990,152,349
