timestamp,MQ-135,MQ-7
0,152,527
10,151,522
20,151,522
30,152,521
40,152,522
50,152,520
60,152,521
70,154,522
80,151,520
90,153,522
100,151,520
110,152,521
120,153,520
130,152,521
140,152,522
150,150,521
160,152,521
170,153,522
180,152,523
190,152,522
200,152,521
210,152,522
220,151,522
230,152,521
240,153,520
250,151,522
260,152,521
270,153,522
280,150,522
290,153,521
300,151,523
310,153,521
320,152,523
330,154,521
340,152,521
350,152,521
360,153,520
370,150,521
380,153,522
390,152,522
400,150,521
410,152,521
420,153,522
430,154,521
440,153,522
450,153,522
460,152,520
470,153,521
480,152,521
490,152,520
500,151,521
510,153,520
520,150,521
530,153,521
540,152,521
550,151,521
560,152,522
570,152,521
580,152,521
590,152,522
600,151,521
610,151,521
620,152,521
630,152,522
640,151,521
650,152,522
660,152,520
670,152,520
680,155,521
690,152,522
700,153,522
710,151,522
720,152,522
730,152,521
740,153,522
750,151,520
760,152,522
770,152,522
780,151,522
790,152,521
800,152,521
810,152,520
820,151,521
830,151,521
840,152,522
850,152,520
860,151,521
870,152,523
880,152,521
890,152,522
900,152,521
910,153,522
920,151,522
930,152,521
940,151,523
950,152,521
960,154,521
970,151,521
980,152,521
990,151,521
