timestamp,MQ-135,MQ-7
0,110,322
10,106,335
20,107,338
30,109,341
40,110,345
50,110,342
60,109,342
70,109,344
80,111,343
90,109,344
100,111,346
110,114,345
120,113,345
130,112,345
140,112,346
150,112,344
160,112,346
170,113,344
180,112,344
190,111,345
200,116,346
210,115,344
220,121,346
230,123,346
240,120,348
250,114,346
260,141,349
270,148,353
280,154,355
290,156,354
300,154,352
310,152,354
320,153,353
330,154,351
340,153,351
350,150,353
360,154,353
370,153,352
380,154,351
390,155,353
400,153,354
410,154,352
420,157,355
430,157,355
440,155,353
450,155,352
460,152,352
470,154,352
480,155,352
490,155,354
500,154,351
510,156,353
520,154,353
530,155,351
540,155,352
550,154,352
560,152,354
570,155,354
580,155,353
590,155,354
600,156,355
610,155,352
620,154,354
630,156,351
640,154,355
650,154,353
660,155,353
670,155,351
680,155,352
690,155,353
700,155,354
710,154,353
720,153,354
730,155,351
740,156,354
750,157,353
760,157,353
770,157,354
780,155,354
790,156,355
800,155,354
810,156,351
820,155,352
830,154,354
840,155,353
850,155,352
860,155,352
870,154,353
880,154,353
890,155,355
900,155,352
910,155,353
920,154,352
930,155,352
940,155,353
950,156,350
960,156,354
970,154,352
980,156,353
990,156,352
