timestamp,MQ-135,MQ-7
0,153,524
10,154,514
20,155,512
30,152,513
40,156,514
50,153,513
60,154,513
70,154,513
80,154,512
90,155,511
100,154,511
110,154,511
120,154,510
130,156,512
140,156,510
150,153,511
160,154,511
170,154,512
180,152,511
190,153,511
200,154,512
210,156,511
220,154,511
230,153,511
240,153,510
250,154,511
260,154,511
270,154,511
280,154,511
290,154,509
300,155,512
310,155,510
320,153,512
330,153,511
340,154,511
350,154,512
360,154,512
370,154,512
380,154,511
390,154,511
400,154,511
410,154,511
420,154,512
430,154,511
440,154,510
450,154,511
460,154,511
470,154,511
480,154,512
490,154,510
500,154,511
510,154,510
520,154,510
530,153,510
540,153,509
550,154,511
560,154,509
570,154,511
580,154,511
590,154,510
600,153,510
610,154,508
620,154,511
630,153,509
640,153,511
650,154,512
660,153,510
670,154,511
680,154,511
690,154,510
700,154,512
710,154,510
720,154,510
730,154,511
740,153,510
750,154,510
760,154,510
770,155,510
780,151,511
790,154,510
800,154,511
810,154,510
820,153,511
830,154,509
840,153,510
850,153,511
860,154,509
870,154,511
880,153,510
890,154,509
900,153,510
910,155,509
920,153,510
930,153,509
940,154,511
950,153,510
960,154,510
970,155,509
980,154,511
990,154,510
