timestamp,MQ-135,MQ-7
0,154,529
10,155,522
20,155,524
30,155,523
40,154,524
50,156,524
60,155,524
70,154,523
80,154,524
90,154,521
100,154,523
110,154,523
120,154,524
130,154,523
140,153,524
150,154,524
160,154,524
170,153,523
180,154,524
190,155,524
200,154,523
210,153,525
220,154,523
230,153,522
240,153,524
250,154,523
260,154,522
270,152,524
280,154,524
290,153,525
300,152,523
310,154,523
320,153,523
330,154,522
340,153,522
350,155,523
360,153,524
370,153,523
380,153,524
390,153,523
400,152,524
410,153,522
420,153,525
430,154,523
440,152,522
450,153,523
460,153,523
470,152,523
480,153,523
490,153,524
500,153,523
510,152,525
520,153,523
530,152,523
540,152,523
550,150,524
560,149,523
570,153,523
580,152,523
590,152,523
600,152,523
610,152,524
620,151,524
630,152,524
640,152,525
650,151,523
660,152,524
670,152,523
680,152,522
690,151,524
700,152,524
710,152,524
720,153,522
730,153,523
740,153,523
750,153,523
760,152,523
770,153,524
780,154,524
790,152,524
800,153,524
810,153,524
820,154,524
830,155,525
840,155,523
850,155,523
860,154,523
870,154,522
880,154,521
890,155,524
900,154,522
910,156,515
920,155,514
930,155,516
940,155,518
950,154,517
960,152,516
970,155,519
980,155,519
990,154,521
