timestamp,MQ-135,MQ-7
0,133,523
10,132,513
20,132,513
30,131,512
40,127,512
50,127,512
60,128,512
70,127,511
80,129,512
90,130,510
100,130,511
110,129,510
120,129,512
130,130,510
140,129,510
150,128,511
160,131,510
170,130,510
180,131,509
190,133,510
200,134,512
210,132,510
220,136,511
230,133,510
240,132,511
250,133,510
260,133,511
270,132,510
280,133,514
290,134,511
300,133,513
310,133,510
320,133,513
330,132,512
340,133,513
350,133,513
360,132,514
370,133,513
380,132,514
390,133,511
400,133,514
410,133,513
420,131,514
430,133,514
440,133,513
450,134,513
460,134,512
470,134,513
480,134,514
490,132,514
500,134,514
510,136,512
520,133,512
530,134,512
540,134,513
550,134,516
560,134,513
570,136,514
580,134,513
590,136,513
600,133,514
610,134,514
620,134,514
630,134,514
640,134,514
650,134,514
660,132,514
670,135,515
680,134,512
690,133,515
700,132,515
710,135,514
720,135,514
730,136,514
740,135,512
750,136,514
760,133,514
770,134,513
780,134,514
790,135,514
800,134,515
810,134,513
820,135,513
830,132,515
840,134,514
850,134,515
860,132,515
870,135,515
880,135,516
890,134,513
900,134,515
910,133,514
920,135,515
930,135,516
940,136,516
950,135,515
960,138,515
970,138,515
980,136,517
990,135,514
