timestamp,MQ-135,MQ-7
0,148,528
10,148,521
20,151,518
30,149,519
40,147,517
50,149,517
60,149,518
70,147,517
80,149,519
90,150,516
100,148,517
110,150,519
120,149,519
130,150,520
140,151,519
150,151,519
160,148,517
170,150,518
180,150,517
190,149,520
200,149,517
210,150,520
220,151,519
230,150,519
240,150,518
250,150,519
260,151,518
270,148,520
280,150,520
290,149,518
300,149,518
310,150,520
320,150,521
330,150,518
340,150,519
350,150,519
360,149,518
370,149,518
380,149,518
390,149,518
400,149,517
410,150,518
420,150,517
430,150,517
440,150,517
450,149,517
460,149,516
470,150,517
480,149,516
490,149,516
500,150,515
510,150,517
520,150,517
530,150,515
540,149,518
550,152,516
560,149,516
570,149,516
580,148,518
590,149,516
600,149,516
610,150,515
620,150,517
630,150,518
640,150,516
650,150,517
660,150,518
670,150,516
680,149,517
690,150,517
700,149,515
710,150,513
720,151,515
730,151,516
740,150,513
750,149,515
760,150,515
770,150,514
780,150,515
790,150,515
800,150,515
810,148,515
820,149,515
830,150,514
840,151,514
850,150,515
860,148,513
870,146,515
880,150,513
890,149,516
900,149,514
910,150,515
920,150,515
930,150,515
940,150,516
950,150,514
960,150,516
970,150,515
980,150,515
990,150,514
