timestamp,MQ-135,MQ-7
0,153,528
10,152,519
20,152,519
30,149,519
40,152,519
50,152,517
60,152,517
70,151,519
80,152,517
90,151,518
100,153,517
110,153,519
120,151,518
130,152,518
140,152,518
150,150,518
160,153,518
170,152,519
180,153,518
190,153,518
200,153,517
210,152,517
220,150,516
230,153,517
240,151,518
250,153,518
260,152,518
270,152,517
280,151,518
290,153,517
300,151,519
310,153,517
320,154,518
330,153,517
340,154,517
350,151,517
360,152,517
370,151,517
380,153,517
390,152,518
400,153,517
410,152,518
420,151,515
430,152,516
440,151,518
450,151,518
460,150,517
470,151,517
480,152,517
490,152,517
500,152,517
510,152,518
520,152,517
530,152,516
540,153,517
550,152,516
560,151,517
570,151,517
580,152,516
590,152,517
600,152,518
610,152,516
620,153,516
630,152,517
640,152,516
650,151,516
660,151,517
670,152,518
680,151,515
690,152,518
700,151,516
710,151,517
720,151,517
730,151,516
740,152,518
750,152,517
760,152,517
770,152,516
780,153,517
790,153,518
800,152,517
810,149,518
820,152,519
830,153,518
840,152,518
850,154,517
860,151,517
870,152,517
880,151,515
890,152,517
900,152,518
910,153,517
920,152,517
930,153,517
940,151,516
950,152,518
960,152,518
970,148,517
980,151,515
990,150,517
