timestamp,MQ-135,MQ-7
0,146,521
10,146,513
20,145,513
30,146,513
40,144,513
50,145,512
60,145,510
70,145,510
80,145,513
90,148,511
100,145,511
110,145,512
120,146,513
130,146,511
140,147,513
150,147,513
160,146,513
170,146,511
180,146,512
190,146,510
200,144,510
210,146,513
220,146,512
230,147,512
240,145,513
250,145,513
260,145,511
270,145,511
280,147,513
290,147,512
300,145,512
310,146,512
320,146,512
330,146,512
340,145,512
350,145,512
360,146,513
370,145,512
380,146,512
390,147,513
400,147,513
410,146,512
420,145,512
430,146,510
440,146,512
450,146,512
460,146,512
470,145,511
480,146,514
490,146,512
500,145,513
510,145,513
520,146,513
530,146,514
540,146,512
550,146,513
560,146,513
570,146,512
580,146,512
590,146,513
600,146,514
610,146,514
620,146,512
630,146,512
640,146,511
650,146,513
660,146,513
670,147,513
680,146,513
690,147,513
700,147,514
710,148,513
720,147,514
730,147,514
740,147,513
750,148,515
760,149,514
770,147,514
780,147,515
790,147,515
800,147,512
810,149,514
820,148,513
830,148,513
840,148,515
850,147,515
860,146,514
870,149,514
880,147,514
890,147,514
900,147,514
910,146,513
920,147,513
930,147,513
940,148,513
950,148,513
960,147,513
970,151,514
980,148,513
990,148,513
