timestamp,MQ-135,MQ-7
0,53,494
10,56,484
20,56,485
30,65,487
40,82,491
50,85,491
60,88,491
70,94,491
80,96,494
90,95,492
100,93,492
110,97,493
120,98,491
130,96,492
140,99,492
150,99,493
160,99,493
170,88,492
180,90,492
190,100,493
200,119,496
210,124,497
220,126,496
230,128,497
240,125,497
250,124,498
260,124,499
270,124,496
280,121,498
290,120,495
300,125,497
310,120,495
320,118,494
330,120,496
340,120,495
350,120,496
360,118,497
370,121,496
380,119,497
390,119,496
400,121,495
410,115,494
420,117,496
430,122,495
440,120,497
450,120,495
460,123,496
470,121,495
480,120,497
490,118,495
500,120,494
510,120,496
520,118,494
530,119,495
540,120,495
550,120,495
560,120,495
570,119,495
580,120,495
590,120,497
600,120,496
610,117,495
620,121,495
630,119,495
640,120,495
650,120,496
660,121,496
670,122,495
680,121,496
690,120,495
700,119,494
710,120,495
720,119,495
730,120,495
740,120,495
750,120,495
760,120,495
770,121,495
780,119,496
790,121,496
800,120,496
810,120,496
820,120,495
830,119,496
840,118,494
850,121,495
860,123,496
870,119,495
880,123,496
890,121,495
900,120,496
910,117,495
920,120,494
930,121,495
940,121,495
950,119,495
960,122,496
970,120,495
980,120,497
990,121,494
